event_id,name,year,date_raw,format,location,weight,notes
1,32C3 CTF,2015,"27 Dec., 12:00 PST — 29 Dec. 2015, 12:00 PST",Jeopardy,Online,70,N/A
2,WhiteHat Grand Prix – Final Round 2015,2015,"18 Dec., 18:00 PST — 19 Dec. 2015, 02:00 PST",Attack-Defense,Online,5,N/A
3,FAUST CTF 2015,2015,"18 Dec., 08:00 PST — 18 Dec. 2015, 16:00 PST",Attack-Defense,Online,10,N/A
4,RCTF 2015 Finals,2015,"11 Dec., 17:00 PST — 12 Dec. 2015, 21:00 PST",Attack-Defense,On-site,20,N/A
5,No cON Name CTF Finals 2015,2015,"10 Dec., 01:00 PST — 10 Dec. 2015, 11:00 PST",Jeopardy,On-site,10,N/A
6,SECCON 2015 Online CTF,2015,"04 Dec., 22:00 PST — 05 Dec. 2015, 22:00 PST",Jeopardy,Online,30,N/A
7,HITCON CTF 2015 Final,2015,"04 Dec., 18:00 PST — 05 Dec. 2015, 23:30 PST",Attack-Defense,On-site,40,N/A
8,UCSB iCTF 2015,2015,"04 Dec., 10:00 PST — 05 Dec. 2015, 10:00 PST",Attack-Defense,Online,35,N/A
9,9447 Security Society CTF 2015,2015,"27 Nov., 15:00 PST — 29 Nov. 2015, 15:00 PST",Jeopardy,Online,30,N/A
10,RuCTFE 2015,2015,"21 Nov., 02:00 PST — 21 Nov. 2015, 11:00 PST",Attack-Defense,Online,60,N/A
11,Trend Micro CTF Asia Pacific & Japan 2015 Final,2015,"20 Nov., 20:30 PST — 21 Nov. 2015, 22:30 PST",Attack-Defense,On-site,30,N/A
12,GreHack CTF 2015,2015,"20 Nov., 13:00 PST — 21 Nov. 2015, 00:00 PST",Jeopardy,On-site,0,N/A
13,Defcamp CTF Finals 2015,2015,"19 Nov., 05:00 PST — 20 Nov. 2015, 05:00 PST",Jeopardy,On-site,15,N/A
14,Hack Dat Kiwi 2015,2015,"17 Nov., 21:00 PST — 19 Nov. 2015, 21:00 PST",Jeopardy,Online,20,N/A
15,RCTF 2015 Quals,2015,"13 Nov., 16:00 PST — 15 Nov. 2015, 04:00 PST",Jeopardy,Online,25,N/A
16,CSAW CTF Final Round 2015,2015,"11 Nov., 18:00 PST — 14 Nov. 2015, 06:00 PST",Jeopardy,On-site,30,N/A
17,Hackfest 2015,2015,"06 Nov., 13:00 PST — 06 Nov. 2015, 23:00 PST",Hack-Quest,On-site,0,N/A
18,Power of XX 2015,2015,"05 Nov., 17:00 PST — 07 Nov. 2015, 01:00 PST",Jeopardy,On-site,0,N/A
19,g0s CTF 2015,2015,"04 Nov., 20:30 PST — 06 Nov. 2015, 02:30 PST",Jeopardy,On-site,5,N/A
20,Belluminar 2015,2015,"04 Nov., 18:00 PST — 05 Nov. 2015, 20:00 PST",Jeopardy,On-site,0,N/A
21,School CTF 2015,2015,"03 Nov., 22:00 PST — 04 Nov. 2015, 03:00 PST",Jeopardy,Online,0,N/A
22,UConn CyberSEED 2015,2015,"29 Oct., 05:00 PDT — 30 Oct. 2015, 15:00 PDT",Jeopardy,On-site,5,N/A
23,CyberSEED Social Engineering Competition 2015,2015,"29 Oct., 05:00 PDT — 30 Oct. 2015, 15:00 PDT",Jeopardy,On-site,0,N/A
24,TUM CTF Teaser,2015,"24 Oct., 05:00 PDT — 25 Oct. 2015, 05:00 PDT",Jeopardy,Online,20,N/A
25,WhiteHat Grand Prix – Qualification Round 2015,2015,"23 Oct., 19:00 PDT — 24 Oct. 2015, 19:00 PDT",Jeopardy,Online,20,N/A
26,2nd Annual MalCon CTF,2015,"22 Oct., 06:00 PDT — 22 Oct. 2015, 15:00 PDT",Jeopardy,On-site,0,N/A
